store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
WH-MAIN,WH-MAIN (putaway),336441,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336445,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336446,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336459,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336463,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336464,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336465,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336470,0.00,5.00,-5.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336347,3.00,7.00,-4.00,OVER
019,019 - Geel Alnaka - MAATC,336035,5.00,1.00,4.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336038,6.00,2.00,4.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336064,4.00,0.00,4.00,SHORT
WH-MAIN,WH-MAIN (putaway),336114,0.00,4.00,-4.00,OVER
WH-MAIN,WH-MAIN (putaway),336461,0.00,4.00,-4.00,OVER
WH-MAIN,WH-MAIN (putaway),336469,0.00,4.00,-4.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336131,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336149,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336167,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336173,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336191,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336203,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336257,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336389,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336401,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336461,3.00,6.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336467,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336131,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336143,3.00,0.00,3.00,SHORT
007,007 - Buridah - Almoosa - MAATC,336167,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336173,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336185,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336191,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336203,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336257,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336347,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336389,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336461,3.00,6.00,-3.00,OVER
007,007 - Buridah - Almoosa - MAATC,336467,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336131,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336143,3.00,0.00,3.00,SHORT
011,011 - Hail - Almoosa - MAATC,336167,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336173,3.00,6.00,-3.00,OVER
